Wavelength,B,G,R
380,0.340680792,0,0
385,0.346561187,0,0
390,0.358700493,0,0
395,0.391947027,0,0
400,0.466471731,0,0
405,0.551600896,0,0
410,0.689359611,0,0
415,0.800033347,0,0
420,0.876879781,0.07868706,0
425,0.917928097,0.053143271,0
430,0.935395201,0.042288146,0
435,0.949770347,0.033318346,0
440,0.956062945,0.029755948,0
445,0.956615607,0.030331251,0
450,0.957025265,0.030988572,0
455,0.957024931,0.031686355,0
460,0.954423973,0.034669962,0
465,0.955047329,0.034551957,0
470,0.948677833,0.040684806,0
475,0.9346323,0.054460037,0
480,0.908062,0.080905287,0
485,0.842341039,0.146348303,0
490,0.609165715,0.379679643,0
495,0.223106961,0.766744269,0
500,0.11486667,0.876214748,0.008918582
505,0.073822768,0.918491656,0.007685576
510,0.052638729,0.940655563,0.006705708
515,0.040272309,0.953731885,0.005995806
520,0.032819463,0.96164328,0.005537257
525,0.027606196,0.96720002,0.005193784
530,0.023984891,0.970989746,0.005025362
535,0.022011333,0.972852304,0.005136363
540,0.021450205,0.973116594,0.0054332
545,0.020828945,0.973351069,0.005819986
550,0.020248311,0.973351116,0.006400573
555,0.020289391,0.97226108,0.007449529
560,0.018065342,0.973351022,0.008583636
565,0.016455742,0.973148495,0.010395762
570,0.01537326,0.971061306,0.013565434
575,0.014244178,0.966371306,0.019384516
580,0.012973962,0.954941968,0.032084071
585,0.012064974,0.91357899,0.074356038
590,0.011257478,0.364348804,0.624393724
595,0.010182725,0.071507243,0.918310033
600,0.009516535,0.041230434,0.94925303
605,0.009388293,0.032423874,0.958187833
610,0.009887619,0.03192463,0.958187751
615,0.010536342,0.031276033,0.958187625
620,0.011690569,0.03263037,0.955679061
625,0.012462973,0.029530872,0.958006155
630,0.014336665,0.031561761,0.954101573
635,0.016718175,0.035674218,0.947607606
640,0.019915666,0.041403005,0.938681328
645,0.024929056,0.05060426,0.924466683
650,0.031959674,0.0634343,0.904606025
655,0.040669554,0.078918245,0.880412199
660,0.052669382,0.099542743,0.847787873
665,0,0,0.805779127
670,0,0,0.752531854
675,0,0,0.686439397
680,0,0,0.618694571
685,0,0,0.540264444
690,0,0,0.472964416
695,0,0,0.432701597
700,0,0,0.405358046
705,0,0,0.385491835
710,0,0,0.370983585
715,0,0,0.357608702
720,0,0,0.3487128
725,0,0,0.344880119
730,0,0,0.341917877
735,0,0,0.339531093
740,0,0,0.337169504
745,0,0,0.336172019
750,0,0,0.335167443
755,0,0,0.334421625
760,0,0,0.33400876
765,0,0,0.333915793
770,0,0,0.333818455
775,0,0,0.333672775
780,0,0,0.333569513
