Wavelength,B,G,R
350,1,0,0
355,1,0,0
360,1,0,0
365,1,0,0
370,1,0,0
375,1,0,0
380,1,4.95E-12,2.34E-12
385,1,2.82E-12,3.06E-12
390,1,6.55E-12,0
395,1,0,1.09E-12
400,1,3.36E-12,3.33E-12
405,1,2.26E-12,4.73E-12
410,1,3.20E-12,9.38E-12
415,1,1.14E-12,4.28E-12
420,1,3.50E-12,8.46E-12
425,1,0,7.33E-12
430,0.997169948,4.51E-13,0.002830052
435,0.99204287,3.86E-12,0.00795713
440,0.986107985,0,0.013892015
445,0.979807223,0,0.020192777
450,0.972962875,0,0.027037125
455,0.964719139,3.71E-12,0.035280861
460,0.951295027,0.005174679,0.043530293
465,0.916278903,0.04643001,0.037291087
470,0.860579254,0.116474179,0.022946566
475,0.785088477,0.207067146,0.007844377
480,0.690357274,0.309642726,0
485,0.588679604,0.411320396,1.28E-12
490,0.486502592,0.513497408,2.76E-12
495,0.386770497,0.613229503,0
500,0.292524834,0.707475166,0
505,0.206312527,0.793687473,0
510,0.131416498,0.868583502,0
515,0.070790638,0.929209362,2.13E-12
520,0.027326037,0.972673963,0
525,0.003068868,0.996931132,3.47E-12
530,4.38E-15,1,0
535,0,1,2.28E-12
540,1.77E-12,1,0
545,4.70E-13,1,5.88E-13
550,0,1,5.29E-12
555,0,1,0
560,0.002208363,0.997791637,3.94E-12
565,0.019042359,0.980957641,4.00E-12
570,0.03455226,0.932495546,0.032952193
575,0.042461841,0.849680588,0.107857571
580,0.044006339,0.741781183,0.214212478
585,0.040705534,0.618920697,0.340373769
590,0.034402537,0.490691352,0.474906112
595,0.02666543,0.36554677,0.6077878
600,0.018668944,0.251433613,0.729897443
605,0.011366851,0.15427341,0.834359739
610,0.005472905,0.078818262,0.915708832
615,0.001643398,0.027642775,0.970713827
620,7.74E-12,0.001353773,0.998646227
625,0,0,1
630,0,2.11E-12,1
635,1.55E-13,1.56E-12,1
640,0,0,1
645,0,3.73E-12,1
650,1.76E-12,2.55E-12,1
655,0,8.90E-12,1
660,1.44E-12,5.00E-12,1
665,3.81E-12,1.29E-12,1
670,3.04E-12,2.66E-12,1
675,2.07E-12,0,1
680,0,2.02E-13,1
685,4.93E-12,0,1
690,4.34E-12,9.04E-14,1
695,1.01E-12,4.56E-12,1
700,3.96E-12,1.04E-11,1
705,5.20E-12,0,1
710,4.81E-12,3.17E-12,1
715,5.29E-12,2.46E-12,1
720,3.86E-12,1.05E-11,1
725,5.38E-12,0,1
730,4.38E-12,6.29E-12,1
735,2.84E-12,1.56E-13,1
740,4.08E-12,0,1
745,5.65E-12,0,1
750,5.17E-12,0,1
755,4.53E-12,5.64E-12,1
760,3.68E-12,1.51E-12,1
765,3.94E-12,3.25E-12,1
770,3.05E-12,0,1
775,0,3.33E-12,1
780,1.07E-12,3.90E-12,1
